Indikator;Year 1;Year 2;Year 3;Year 4;Year 5
1.1. Terkait Kaji Ulang RAD GRK /PPRKD;5.00;5.00;5.00;5.00;5.00
1.2. Tingkat operasionalisasi regulasi Kaji Ulang RAD GRK /PPRKD;5.00;4.00;2.00;3.00;4.00
2.1. Visi Misi;4.00;4.00;2.00;5.00;4.00
2.2. Isu Strategis Pembangunan;4.00;4.00;2.00;5.00;4.00
2.3. Prioritas Pembangunan Daerah;4.00;2.00;2.00;5.00;3.00
2.4. Indikator Pembangunan;4.00;2.00;2.00;3.00;3.00
2.5. Program dan Kegiatan Pembangunan Daerah;4.00;5.00;2.50;4.00;4.00
3.1. Pelaksanaan Kaji Ulang RAD GRK /PPRKD;4.00;5.00;5.00;5.00;4.00
3.2. Kerjasama lembaga Pelaksanaan Kaji Ulang RAD GRK /PPRKD;4.00;5.00;5.00;5.00;4.36
3.3. Tahapan;4.00;5.00;5.00;5.00;3.99
3.4. Pelibatan Masyarakat;4.00;4.00;5.00;4.00;3.00
3.5. Proses pengarusutamaan;4.00;5.00;4.00;4.00;3.04
7.1. Ketersediaan dan Aksesibilitas Data;4.20;4.05;4.10;1.10;3.77
7.2. Kualitas Data;3.90;4.32;3.50;1.20;3.90
7.3. Pengelolaan Data;3.00;2.00;2.50;1.00;3.23
9.1. Muatan/Substansi;4.00;3.40;3.40;4.80;4.00
9.2. Pelaksanaan;4.20;4.00;3.00;4.50;3.93
9.3. Pelaksana;4.30;2.33;2.00;4.00;2.96
9.4 Pemanfaatan;4.00;3.00;3.00;4.00;2.98
