Bab ,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Sumberdaya Manusia (SDM) – Individu,6.1. Kesesuaian Peran dalam Implementasi RAD GRK/PPRKD dengan Tugas dan Fungsi,Relevansi antara tugas dan tanggung jawab dengan jabatan di institusinya,Apakah terdapat kesesuaian dan peran dalam kelembagaan RAD GRK/PPRKD dengan tugas di institusi/dinas? ,Tidak sesuai,Kurang dari 10 % sesuai,"Sekitar 50 % dari tugasnya, sesuai dengan TUSI di Lembaga/OPD","Lebih dari 50 % dari tugasnya, sesuai dengan TUSI di Lembaga/OPD",Tugas dan tanggung jawab dalam kelembagaan bersesuaian dengan peran dalam implementasi PEH
Sumberdaya Manusia (SDM) – Individu,6.1. Kesesuaian Peran dalam Implementasi RAD GRK/PPRKD dengan Tugas dan Fungsi,Keterlebitan dalam proses kajiulang RAD GRK/PPRK,Apakah terlibat dalam proses Kaji Ulang RAD GRK/PPRKD?,Belum pernah,Baru saat ini terlibat,Beberapa kali mengikuti kegiatan,Beberapa kali mengikuti kegiatan pada tingkat nasional,Terlibat secara aktif dalam penyusuanan dokumen
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,RAD GRK dan PPRKD,Sejauh mana pemahaman terkait proses RAD GRK dan PPRKD?,Tidak memahami,Memahami pengertian ekonomi hijau tetapi belum dapat menjelaskan prosesnya,Memahami pengertian ekonomi hijau dan dapat menjelaskan proses,"Memahami pengertian ekonomi hijau, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan","Memahami pengertian ekonomi hijau, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan, dan dampaknya"
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Perencanaan Pembangunan dan Penggunaan Lahan,Sejauh mana pemahaman terkait proses perencanaan pembangunan dan penggunaan lahan?,Tidak memahami,Memahami pengertian ekonomi hijau tetapi belum dapat menjelaskan prosesnya,Memahami pengertian ekonomi hijau dan dapat menjelaskan proses,"Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan","Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan, dan dampaknya"
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Permasalahan Lingkungan dan Perubahan Iklim,Sejauh mana pemahaman terkait permasalahan lingkungan dan perubahan iklim?,Tidak memahami,Memahami permasalahan lingkungan dan perubahan iklim tetapi belum dapat menjelaskan prosesnya,Memahami permasalahan lingkungan dan perubahan iklim dan dapat menjelaskan prosesnya,"Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan","Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan, dan dampaknya"
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Pentingnya Penggunaan Data,Bagaimana pemahaman terkait penggunaan data dalam proses perencanaan dan implementasi RAD GRK dan PPRKD?,Tidak memahami,Memahami permasalahan lingkungan dan perubahan iklim tetapi belum dapat menjelaskan prosesnya,Memahami permasalahan lingkungan dan perubahan iklim dan dapat menjelaskan prosesnya,"Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan","Memahami pengertian dimaksud, dapat menjelaskan prosesnya, dan dapat menunjukan contoh kegiatan, dan dampaknya"
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Survei dan Pemetaan,Bagaimana pemahaman terkait survei dan pemetaan? ,Tidak memahami,(1) Memahami manfaat survei pemetaan,"(1) Memahami manfaat survei pemetaan, (2) memahami prosesnya","(1) Memahami manfaat survei pemetaan, (2) memahami prosesnya (3) alat/piranti yang digunakan","(1) Memahami manfaat survei pemetaan, (2) memahami prosesnya (3) alat/piranti yang digunakan, (4) menjelaskan contoh pelaksanaan"
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Sumber emisi dan aksi pengendalian emisi dari sektor energi-transportasi,Sejauh mana pengetahuan terkait sumber emisi dari sektor energi dan transportasi upaya pengendaliannya?,Tidak memahami,Pernah mendapat informasi,Pernah terlibat dalam kegiatan sejenis,Beberapa kali terlibat dalam kegiatan sejenis,Telah terlibat dalam penyusuanan dokumen
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Sumber emisi dan aksi pengendalian emisi dari sektor pengeloaan limbah,Sejauh mana pengetahuan terkait sumber emisi dari sektor limbah upaya pengendaliannya?,Tidak memahami,Pernah mendapat informasi,Pernah terlibat dalam kegiatan sejenis,Beberapa kali terlibat dalam kegiatan sejenis,Telah terlibat dalam penyusuanan dokumen
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Sumber emisi dan aksi pengendalian emisi dari sektor pertanian,Sejauh mana pengetahuan terkait sumber emisi dari sektor pertanian upaya pengendaliannya?,Tidak memahami,Pernah mendapat informasi,Pernah terlibat dalam kegiatan sejenis,Beberapa kali terlibat dalam kegiatan sejenis,Telah terlibat dalam penyusuanan dokumen
