sectionid,quizname,Kategori
7,Kuis Pemahaman Dasar Perubahan Iklim dan Pembangunan Rendah Karbon,Pengetahuan
8,Kuis Pembangunan Rendah Karbon Indonesia,Pengetahuan
12,Kuis PPRKN,Pengetahuan
20,Kuis Pengenalan Aplikasi AKSARA,Keterampilan
21,Kuis Penggunaan AKSARA untuk Kontributor Teknis,Keterampilan
23,Kuis Penggunaan AKSARA untuk Admin,Keterampilan
24,Kuis Editor,Keterampilan
119,Kuis Kehutanan dan Lahan Gambut,Keterampilan
119,Kuis Pertanian,Keterampilan
120,Kuis Energi,Keterampilan
120,Kuis Transportasi ,Keterampilan
121,Kuis Aksi PRK Sektor Limbah,Keterampilan
133,Kuis Penilaian Kapasitas Mandiri,Pengetahuan
134,Kuis Pengantar PPRK,Pengetahuan
135,Kuis Analisis Ekonomi Regional,Keterampilan
136,Kuis Satelit Energi,Keterampilan
137,Kuis Satelit Limbah,Keterampilan
138,Kuis Satelit Lahan,Keterampilan
142,Kuis Skenario BAU,Keterampilan
143,Kuis Skenario PRK,Keterampilan
153,Kuis Analisis Trade-off,Keterampilan
