BAB,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Perangkat Pelaksana/Kelembagaan,"4.1. Penentuan Visi, Misi dan Tujuan",Adanya rumusaan visi dari kelembagaan,Apakah terdapat visi dan misi kelembagaan? atau uraian tugas dan fungsi (tusi) POKJA/Satuan Tugas dalam implementasi RAD GRK/PPRKD?,Tidak ada,Terkait tidak secara secara langsung,Terdapat beberapa kata yang menunjukan kaitan tersebut hanya pada satu misi,Terdapat beberapa kata yang menunjukan kaitan tersebut di beberapa misi,Cukup jelas menyebutkan perhatian terhadap pertumbuhan ekonomi hijau disemua visi dan misinya
Perangkat Pelaksana/Kelembagaan,"4.1. Penentuan Visi, Misi dan Tujuan","Pemahaman terhadap visi, misi, dan tujuan kelembagaan oleh anggota",Sejauh mana pemahaman pemahaman para anggota terkait visi-misi atau tugas dan fungsi oleh anggota?,Tidak dipahami,Sedikit dari anggota memahami,Sekitar 50 % dari anggota memahami,Lebih dari 50 % dari anggota memahami,Semua anggota memahami
Perangkat Pelaksana/Kelembagaan,4.2 Struktur organisasi,Struktur Organisasi/kelembagaan,Apakah struktur oganisasi mendukung/mengakomodasi proses kerja yang mewakili setiap pemangku kepentingan? ,Tidak diperhitungkan,Struktur organisasi dari OPD yang ditunjuk,Mewakili 50 % lembaga/OPD yang ada,Mewakili lebih dari 50 % Lembaga/OPD yang ada,Semua Lembaga/OPD terlibat
Perangkat Pelaksana/Kelembagaan,4.2 Struktur organisasi,Kualitas pengisian Jabatan,Bagaimana proses penempatan petugas pada masing-masing jabatan?,Tidak ada aturan khusus,Beberapa jabatan diisi sesuai dengan TUSI,Sekitar 50 % jabatan diisi sesuai dengan TUSI,Lebih dari 50 % jabatan diisi sesuai dengan TUSI,Jabatan diisi secara lengkap sesuai dengan tahapan kerja
Perangkat Pelaksana/Kelembagaan,4.2 Struktur organisasi,Pemahaman atas Uraian tugas dan fungsi,Sejauh mana anggota memahami tugas dan keluaran yang harus dicapai?,Tidak ada yang memahami,Sedikit anggota yang memahami,Sekitar 50 % anggota memahami,Lebih dari 50 % anggota memahami,Seluruh anggota memahami tugas dan output yang harus didapat
Perangkat Pelaksana/Kelembagaan,4.3. Proses pengambilan keputusan,Adanya SOP proses pengambilan keputusan yang diakui bersama,Apakah terdapat standar proses dalam pengambilan keputusan?,Tidak ada SOP proses pengambilan keputusan yang diakui bersama,"Terdapat SOP proses pengambilan keputusan yang diakui bersama, yang sudah mengatur sebagaian kecil proses",Terdapat SOP proses pengambilan keputusan yang diakui bersama yang mengatur 50 % proses,Terdapat SOP proses pengambilan keputusan yang diakui bersama yang mengatur lebih dari 50 % proses,Terdapat SOP proses pengambilan keputusan yang diakui bersama yang cukup lengkap dengan penjelasan yang cukup jelas
Perangkat Pelaksana/Kelembagaan,4.3. Proses pengambilan keputusan,Adanya proses diskusi yang dilaksanakan dalam pembahasan suatu permasalahan untuk menghasilkan kesepakatan,Adakah proses diskusi yang dilaksanakan dalam pembahasan suatu permasalahan untuk menghasilkan kesepakatan?,Tidak ada proses diskusi,Proses diskusi dilakukan oleh sebagian kecil anggota,Proses diskusi dilakukan oleh sekitar 50 % anggota,Proses diskusi dilakukan oleh lebih dari 50 % anggota,Proses diskusi dalam rangka pengambilan kebijakan selalu dilakukan
Perangkat Pelaksana/Kelembagaan,4.4. Prosedur/Proses Kerja dan Pengelolaan lembaga,Proses Kerja,"Apakah proses kerja dalam organisasi diatur secara lengkap? (tahapan sistematis untuk mencapai keluaran yang meliputi penanggung jawab, metode, alat&bahan, dan jangka waktu yang jelas)",Proses kerja tidak diatur samasekali,Proses kerja di atur pada sebagian kecil urusan,Proses kerja diatur sekitar 50 % dari keseluruhan pekerjaan,Proses kerja diatur lebih dari 50 % dari keseluruhan pekerjaan,Proses kerja diatur secara lengkap
Perangkat Pelaksana/Kelembagaan,4.4. Prosedur/Proses Kerja dan Pengelolaan lembaga,Keselarasan tanggung jawab dalam RAD GRK/PPRKD dengan Tugas dan Fungsi,Apakah tanggung jawab dalam RAD GRK/PPRKD selaras dengan tugas dan tanggung jawab anggota di institusinya?,Tidak selaras,Sebagian kecil anggota yang memiliki keselarasan,Sekitar 50 % anggota memiliki keselarasan degan tugas dan fungsinya,Lebih dari 50 % anggota memiliki keselarasan degan tugas dan fungsinya,Tanggung jawab dan fungsi anggota selaras dengan perannya dalam RAD GRK/PPRKD
Perangkat Pelaksana/Kelembagaan,4.4. Prosedur/Proses Kerja dan Pengelolaan lembaga,Dukungan Kesekretariatan,Apakah tersedia fasilitas kesekretariatan (mencakup tempat/ruangan dan perlengkapan ketatausahaan) yang memadai dan sesuai kebutuhan dasar untuk mendukung kegiatan kelembagaan?,Tidak tersedia kesekretariatan yang mendukung kegiatan,Tersedianya kesekretariatan untuk urusan yang sanat sedikit,Sekitar dari 50 % kegiatan yang mendapatkan penanganan kesekretariatan,Lebih dari 50 % kegiatan yang mendapatkan penanganan kesekretariatan,Tersedianya kesekretariatan yang memadai dan sesuai kebutuhan dasar
